,name,mission_title,hours_mission,decade_of_mission,year_of_mission,sex,year_of_birth,nationality,total_number_of_missions,total_hrs_sum
355,"Creighton, John O.",STS-51-G,170.0,1980,1985,male,1943,U.S.,3,404.0
356,"Creighton, John O.",STS-36,106.0,1990,1990,male,1943,U.S.,3,404.0
357,"Creighton, John O.",STS-48,128.0,1990,1991,male,1943,U.S.,3,404.0
358,"Nagel, Steven R.",STS-51G,170.0,1980,1985,male,1946,U.S.,4,522.0
359,"Nagel, Steven R.",STS-61A,169.0,1980,1985,male,1946,U.S.,4,522.0
360,"Nagel, Steven R.",STS-37,143.0,1990,1991,male,1946,U.S.,4,522.0
361,"Nagel, Steven R.",STS-55,240.0,1990,1993,male,1946,U.S.,4,522.0
362,"Lucid, Shannon W.",STS-51-G,169.0,1980,1985,female,1943,U.S.,5,5353.0
363,"Lucid, Shannon W.",STS-34,119.0,1980,1989,female,1943,U.S.,5,5353.0
364,"Lucid, Shannon W.",STS-43,213.0,1990,1991,female,1943,U.S.,5,5353.0
365,"Lucid, Shannon W.",STS-58,336.0,1990,1993,female,1943,U.S.,5,5353.0
366,"Lucid, Shannon W.",22,4516.0,1990,1996,female,1943,U.S.,5,5353.0
367,"Baudry, Patrick",STS-51G,169.63,1980,1985,male,1946,France,1,169.63
368,"Al-saud, Sultan bin Salman",STS-51G,170.0,1980,1985,male,1956,Saudi Arabia,1,170.0
369,"Bridges, Roy D., Jr.",STS-51-F,190.0,1980,1985,male,1943,U.S.,1,190.0
370,"Henize, Karl G.",STS-51-F,190.0,1980,1985,male,1926,U.S.,1,190.75
371,"England, Anthony W.",STS-51-F,190.0,1980,1985,male,1942,U.S.,1,190.0
372,"Acton, Loren Wilbur",Spacelab-2,190.94,1970,1978,male,1936,U.S.,1,190.94
373,"Bartoe, John-David Francis",STS-51-F,190.94,1970,1978,male,1944,U.S.,1,190.94
374,"Covey, Richard O.",STS-51-I,170.0,1980,1985,male,1946,U.S.,4,645.0
375,"Covey, Richard O.",STS-26,97.0,1980,1988,male,1946,U.S.,4,645.0
376,"Covey, Richard O.",STS-38,118.0,1990,1990,male,1946,U.S.,4,645.0
377,"Covey, Richard O.",STS-61,260.0,1990,1993,male,1946,U.S.,4,645.0
378,"Lounge, John M.",STS-51-I,170.0,1980,1985,male,1946,U.S.,3,482.0
379,"Lounge, John M.",STS-26,97.0,1980,1988,male,1946,U.S.,3,482.0
380,"Lounge, John M.",STS-35,215.0,1990,1990,male,1946,U.S.,3,482.0
381,"Fisher, William F.",STS-51-I,170.0,1980,1985,male,1946,U.S.,1,170.0
382,"Vasyutin, Vladimir",Salyut 7,1557.0,1980,1985,male,1952,U.S.S.R/Russia,1,1557.87
383,"Volkov, Alexander",Salyut 7,1557.0,1980,1985,male,1948,U.S.S.R/Russia,3,9395.87
384,"Volkov, Alexander",4,3635.0,1980,1989,male,1948,U.S.S.R/Russia,3,9395.87
385,"Volkov, Alexander",10,4202.0,1990,1992,male,1948,U.S.S.R/Russia,3,9395.87
386,"Grabe, Ronald J.",STS-51-J,97.73,1980,1985,male,1945,U.S.,4,626.73
387,"Grabe, Ronald J.",STS-30,97.0,1980,1989,male,1945,U.S.,4,626.73
388,"Grabe, Ronald J.",STS-42,193.0,1990,1992,male,1945,U.S.,4,626.73
389,"Grabe, Ronald J.",STS-57,239.0,1990,1993,male,1945,U.S.,4,626.73
390,"Hilmers, David C.",STS-51-J,97.0,1980,1985,male,1950,U.S.,4,493.0
391,"Hilmers, David C.",STS-26,97.0,1980,1988,male,1950,U.S.,4,493.0
392,"Hilmers, David C.",STS-36,106.0,1990,1990,male,1950,U.S.,4,493.0
393,"Hilmers, David C.",STS-42,193.0,1990,1992,male,1950,U.S.,4,493.0
394,"Pailes, William Arthur",STS-51-J,98.11,1980,1985,male,1936,U.S.,1,98.11
395,"Dunbar, Bonnie J.",STS-61-A,168.0,1980,1985,female,1949,U.S.,5,1208.0
396,"Dunbar, Bonnie J.",STS-32,261.0,1990,1990,female,1949,U.S.,5,1208.0
397,"Dunbar, Bonnie J.",STS-50,331.0,1990,1992,female,1949,U.S.,5,1208.0
398,"Dunbar, Bonnie J.",STS-71,235.0,1990,1995,female,1949,U.S.,5,1208.0
399,"Dunbar, Bonnie J.",STS-89,211.0,1990,1998,female,1949,U.S.,5,1208.0
400,"Furrer, Reinhard Alfred",STS-61A,168.73,1980,1985,male,1940,Germany,1,168.73
401,"Messerschmid, Ernst Willi",STS-61A,168.73,1980,1985,male,1945,Germany,1,168.73
402,"Ockels, Wubbo Johannes",STS-61-A,168.73,1980,1985,male,1946,Netherland,1,168.73
403,"O'Connor, Bryan D.",STS-61B Atlantis,165.0,1980,1985,male,1946,U.S.,2,386.0
404,"O'Connor, Bryan D.",STS-40 Columbia,218.0,1990,1991,male,1946,U.S.,2,386.0
405,"Ross, Jerry L.",STS-61,165.0,1980,1985,male,1948,U.S.,7,1393.0
406,"Ross, Jerry L.",STS-27,105.0,1980,1988,male,1948,U.S.,7,1393.0
407,"Ross, Jerry L.",STS-37,143.0,1990,1991,male,1948,U.S.,7,1393.0
408,"Ross, Jerry L.",STS-55,239.0,1990,1993,male,1948,U.S.,7,1393.0
409,"Ross, Jerry L.",STS-74,129.0,1990,1995,male,1948,U.S.,7,1393.0
410,"Ross, Jerry L.",STS-88,283.0,1990,1998,male,1948,U.S.,7,1393.0
411,"Ross, Jerry L.",STS-110,259.0,2000,2002,male,1948,U.S.,7,1393.0
412,"Cleave, Mary L.",STS-30,97.0,1980,1985,female,1947,U.S.,2,262.0
413,"Cleave, Mary L.",STS-61-B,165.0,1980,1989,female,1947,U.S.,2,262.0
414,"Spring, Sherwood C.",STS-61-B,165.0,1980,1985,male,1944,U.S.,1,165.0
415,"Neri Vela, Rodolfl",STS-61-B,165.07,1980,1985,male,1952,Mexico,1,165.67
416,"Bolden, Charles F., Jr.",STS-61-C,74.0,1980,1986,male,1946,U.S.,4,680.0
417,"Bolden, Charles F., Jr.",STS-31,121.0,1990,1990,male,1946,U.S.,4,680.0
418,"Bolden, Charles F., Jr.",STS-45,214.0,1990,1992,male,1946,U.S.,4,680.0
419,"Bolden, Charles F., Jr.",STS-60,199.0,1990,1994,male,1946,U.S.,4,680.0
420,"Chang-Diaz, Franklin R.",STS-61-C,146.0,1980,1986,male,1950,U.S.,7,1601.0
421,"Chang-Diaz, Franklin R.",STS-34,120.0,1980,1989,male,1950,U.S.,7,1601.0
422,"Chang-Diaz, Franklin R.",STS-46,191.0,1990,1992,male,1950,U.S.,7,1601.0
423,"Chang-Diaz, Franklin R.",STS-60,199.0,1990,1994,male,1950,U.S.,7,1601.0
424,"Chang-Diaz, Franklin R.",STS-75,377.0,1990,1996,male,1950,U.S.,7,1601.0
425,"Chang-Diaz, Franklin R.",STS-91,236.0,1990,1998,male,1950,U.S.,7,1601.0
426,"Chang-Diaz, Franklin R.",STS-111,333.0,2000,2002,male,1950,U.S.,7,1601.0
427,"Cenker, Robert Joseph",STS-61C,146.42,1980,1986,male,1948,U.S.,1,146.42
428,"Nelson, William Clarence",STS-61C,6.03,1980,1986,male,1942,U.S.,1,6.03
429,"Smith, Michael John",STS-51L,0.61,1980,1986,male,1945,U.S.,1,0.61
430,"Jarvis, Gregory Bruce",STS-51L,0.61,1980,1986,male,1944,U.S.,1,0.61
431,"McAuliffe, Sharon Christa Corrigan",STS-51L,0.61,1980,1986,female,1948,U.S.,1,0.61
432,"Laveykin, Aleksandr",2,4179.0,1980,1987,male,1951,U.S.S.R/Russia,1,4179.42
433,"Viktorenko, Aleksandr",1,191.0,1980,1987,male,1947,U.S.S.R/Russia,4,11737.55
434,"Viktorenko, Aleksandr",5,3990.0,1990,1990,male,1947,U.S.S.R/Russia,4,11737.55
435,"Viktorenko, Aleksandr",11,3494.0,1990,1992,male,1947,U.S.S.R/Russia,4,11737.55
436,"Viktorenko, Aleksandr",17,4061.0,1990,1994,male,1947,U.S.S.R/Russia,4,11737.55
437,"Faris, M. Achmed",1,191.0,1980,1987,male,1951,Syria,1,191.0
438,"Manarov, Musa",3,8782.0,1980,1987,male,1951,U.S.S.R/Russia,2,12984.47
439,"Manarov, Musa",8,4201.0,1990,1990,male,1951,U.S.S.R/Russia,2,12984.47
440,"Levchenko, Anatoli",Soyuz TM­4/3,189.0,1980,1987,male,1941,U.S.S.R/Russia,1,189.97
441,"Solovyev, Anatoly",2,236.0,1980,1988,male,1948,U.S.S.R/Russia,5,15624.03
442,"Solovyev, Anatoly",6,4297.0,1990,1990,male,1948,U.S.S.R/Russia,5,15624.03
443,"Solovyev, Anatoly",12,4533.0,1990,1993,male,1948,U.S.S.R/Russia,5,15624.03
444,"Solovyev, Anatoly",19,1811.0,1990,1995,male,1948,U.S.S.R/Russia,5,15624.03
445,"Solovyev, Anatoly",24,4745.0,1990,1997,male,1948,U.S.S.R/Russia,5,15624.03
446,"Aleksandrov, Aleksandr",2,47.0,1980,1988,male,1951,Bulgaria,1,47.0
447,"Polyakov, Valeri",3,5782.0,1980,1988,male,1942,U.S.S.R/Russia,2,16288.53
448,"Polyakov, Valeri",15,10505.0,1990,1994,male,1942,U.S.S.R/Russia,2,16288.53
449,"Mohmand, Abdul Ahad",3,212.0,1980,1988,male,1959,Afghanistan,1,212.0
450,"Krikalev, Sergei",4,3635.0,1980,1988,male,1958,U.S.S.R/Russia,6,19281.65
451,"Krikalev, Sergei",9,7484.0,1990,1991,male,1958,U.S.S.R/Russia,6,19281.65
452,"Krikalev, Sergei",STS­60,199.0,1990,1994,male,1958,U.S.S.R/Russia,6,19281.65
453,"Krikalev, Sergei",STS­88,283.0,1990,1998,male,1958,U.S.S.R/Russia,6,19281.65
454,"Krikalev, Sergei",1,3383.0,2000,2000,male,1958,U.S.S.R/Russia,6,19281.65
455,"Krikalev, Sergei",11,4296.0,2000,2005,male,1958,U.S.S.R/Russia,6,19281.65
456,"Gardner, Guy S.",STS-27,105.0,1980,1988,male,1948,U.S.,2,320.16
457,"Gardner, Guy S.",STS-35,215.0,1990,1990,male,1948,U.S.,2,320.16
458,"Shepherd, William M.",STS-27,105.0,1980,1988,male,1949,U.S.,4,3721.0
459,"Shepherd, William M.",STS-41,98.0,1990,1990,male,1949,U.S.,4,3721.0
460,"Shepherd, William M.",STS-52,237.0,1990,1992,male,1949,U.S.,4,3721.0
461,"Shepherd, William M.",1,3281.0,2000,2000,male,1949,U.S.,4,3721.0
462,"Blaha, John E.",STS-29,120.0,1980,1989,male,1942,U.S.,5,3864.0
463,"Blaha, John E.",STS-33,120.0,1980,1989,male,1942,U.S.,5,3864.0
464,"Blaha, John E.",STS-43,213.0,1990,1991,male,1942,U.S.,5,3864.0
465,"Blaha, John E.",STS-58,336.0,1990,1993,male,1942,U.S.,5,3864.0
466,"Blaha, John E.",22,3077.0,1990,1996,male,1942,U.S.,5,3864.0
467,"Springer, Robert C.",STS-29,119.0,1980,1989,male,1942,U.S.,2,237.0
468,"Springer, Robert C.",STS-38,118.0,1990,1990,male,1942,U.S.,2,237.0
469,"Bagian, James P.",STS-29,120.0,1980,1989,male,1952,U.S.,2,338.0
470,"Bagian, James P.",STS-40,218.0,1990,1991,male,1952,U.S.,2,338.0
471,"Lee, Mark C.",STS-30,97.0,1980,1989,male,1952,U.S.,4,789.76
472,"Lee, Mark C.",STS-47,190.0,1990,1992,male,1952,U.S.,4,789.76
473,"Lee, Mark C.",STS-64,262.0,1990,1994,male,1952,U.S.,4,789.76
474,"Lee, Mark C.",STS-82,239.0,1990,1997,male,1952,U.S.,4,789.76
475,"Richards, Richard N.",STS-28,120.0,1980,1989,male,1946,U.S.,4,813.0
476,"Richards, Richard N.",STS-41,96.0,1990,1990,male,1946,U.S.,4,813.0
477,"Richards, Richard N.",STS-50,336.0,1990,1992,male,1946,U.S.,4,813.0
478,"Richards, Richard N.",STS-64,242.0,1990,1994,male,1946,U.S.,4,813.0
479,"Adamson, James C.",STS-28,121.0,1980,1989,male,1946,U.S.,2,334.0
480,"Adamson, James C.",STS-43,213.0,1990,1991,male,1946,U.S.,2,334.0
481,"Brown, Mark N.",STS-28,121.0,1980,1989,male,1951,U.S.,2,249.0
482,"Brown, Mark N.",STS-48,128.0,1990,1991,male,1951,U.S.,2,249.0
483,"McCulley, Michael J.",STS-34,119.0,1980,1989,male,1943,U.S.,1,119.0
484,"Baker, Ellen S.",STS-34,120.0,1980,1989,female,1953,U.S.,3,686.0
485,"Baker, Ellen S.",STS-50,331.0,1990,1992,female,1953,U.S.,3,686.0
486,"Baker, Ellen S.",STS-71,235.0,1990,1995,female,1953,U.S.,3,686.0
487,"Carter, Manley Lanier, Jr.",STS-33,120.0,1980,1989,male,1947,U.S.,1,120.0
488,"Thornton, Kathryn C.",STS-33,120.0,1980,1989,female,1952,U.S.,4,975.23
489,"Thornton, Kathryn C.",STS-49,213.0,1990,1992,female,1952,U.S.,4,975.23
490,"Thornton, Kathryn C.",STS-61,264.0,1990,1993,female,1952,U.S.,4,975.23
491,"Thornton, Kathryn C.",STS-73,360.0,1990,1995,female,1952,U.S.,4,975.23
492,"Wetherbee, James D.",STS-32,261.0,1990,1990,male,1952,U.S.,6,1594.38
493,"Wetherbee, James D.",STS-52,236.0,1990,1992,male,1952,U.S.,6,1594.38
494,"Wetherbee, James D.",STS-63,198.0,1990,1995,male,1952,U.S.,6,1594.38
495,"Wetherbee, James D.",STS-86,259.0,1990,1997,male,1952,U.S.,6,1594.38
496,"Wetherbee, James D.",STS-102,307.0,2000,2001,male,1952,U.S.,6,1594.38
497,"Wetherbee, James D.",STS-113,330.0,2000,2002,male,1952,U.S.,6,1594.38
498,"Ivins, Marsha S.",STS-32,261.0,1990,1990,female,1951,U.S.,5,1341.8
499,"Ivins, Marsha S.",STS-46,191.0,1990,1992,female,1951,U.S.,5,1341.8
500,"Ivins, Marsha S.",STS-62,335.0,1990,1994,female,1951,U.S.,5,1341.8
501,"Ivins, Marsha S.",STS-81,244.0,1990,1997,female,1951,U.S.,5,1341.8
502,"Ivins, Marsha S.",STS-98,309.0,2000,2001,female,1951,U.S.,5,1341.8
503,"Low, G. David",STS-32,261.0,1990,1990,male,1956,U.S.,3,713.0
504,"Low, G. David",STS-43,213.0,1990,1991,male,1956,U.S.,3,713.0
505,"Low, G. David",STS-57,239.0,1990,1993,male,1956,U.S.,3,713.0
506,"Balandin, Aleksandr",6,4297.0,1990,1990,male,1953,U.S.S.R/Russia,1,4297.28
507,"Casper, John H.",STS-36,106.0,1990,1990,male,1943,U.S.,4,825.0
508,"Casper, John H.",STS-54,143.0,1990,1993,male,1943,U.S.,4,825.0
509,"Casper, John H.",STS-62,335.0,1990,1994,male,1943,U.S.,4,825.0
510,"Casper, John H.",STS-77,241.0,1990,1996,male,1943,U.S.,4,825.0
511,"Thuot, Pierre J.",STS-36,106.0,1990,1990,male,1955,U.S.,3,654.85
512,"Thuot, Pierre J.",STS-49,213.0,1990,1992,male,1955,U.S.,3,654.85
513,"Thuot, Pierre J.",STS-62,335.0,1990,1994,male,1955,U.S.,3,654.85
514,"Manakov, Gennadi",7,3140.0,1990,1990,male,1950,U.S.S.R/Russia,2,7437.3
515,"Manakov, Gennadi",13,4296.0,1990,1993,male,1950,U.S.S.R/Russia,2,7437.3
516,"Cabana, Robert D.",STS-41,98.0,1990,1990,male,1949,U.S.,4,910.0
517,"Cabana, Robert D.",STS-53,175.0,1990,1992,male,1949,U.S.,4,910.0
518,"Cabana, Robert D.",STS-65,354.0,1990,1994,male,1949,U.S.,4,910.0
519,"Cabana, Robert D.",STS-88,283.0,1990,1998,male,1949,U.S.,4,910.0
520,"Melnick, Bruce E.",STS-41,98.0,1990,1990,male,1949,U.S.,2,311.0
521,"Melnick, Bruce E.",STS-49,213.0,1990,1992,male,1949,U.S.,2,311.0
522,"Akers, Thomas D.",STS-41,98.0,1990,1990,male,1951,U.S.,4,814.0
523,"Akers, Thomas D.",STS-49,213.0,1990,1992,male,1951,U.S.,4,814.0
524,"Akers, Thomas D.",STS-61,260.0,1990,1993,male,1951,U.S.,4,814.0
525,"Akers, Thomas D.",STS-79,243.0,1990,1996,male,1951,U.S.,4,814.0
526,"Culbertson, Frank L., Jr.",STS-38,118.0,1990,1990,male,1949,U.S.,3,3447.0
527,"Culbertson, Frank L., Jr.",STS-51,236.0,1990,1993,male,1949,U.S.,3,3447.0
528,"Culbertson, Frank L., Jr.",3,3093.0,2000,2001,male,1949,U.S.,3,3447.0
529,"Meade, Carl J.",STS-38,117.0,1990,1990,male,1950,U.S.,3,710.0
530,"Meade, Carl J.",STS-50,331.0,1990,1992,male,1950,U.S.,3,710.0
531,"Meade, Carl J.",STS-64,262.0,1990,1994,male,1950,U.S.,3,710.0
532,"Gemar, Charles D.",STS-38,118.0,1990,1990,male,1955,U.S.,3,581.5
533,"Gemar, Charles D.",STS-48,128.5,1990,1991,male,1955,U.S.,3,581.5
534,"Gemar, Charles D.",STS-62,335.0,1990,1994,male,1955,U.S.,3,581.5
535,"Durrance, Samuel Thornton",Astro-1,215.15,1990,1990,male,1943,U.S.,2,614.69
536,"Durrance, Samuel Thornton",Astro-2,399.54,1990,1995,male,1943,U.S.,2,614.69
537,"Parise, Ronald Anthony",STS-35,215.15,1990,1990,male,1951,U.S.,2,614.69
538,"Parise, Ronald Anthony",STS-67,399.54,1990,1995,male,1951,U.S.,2,614.69
539,"Afanasyev, Viktor Mikhaylovich",8,4201.0,1990,1991,male,1948,U.S.S.R/Russia,4,13338.55
540,"Afanasyev, Viktor Mikhaylovich",15,4368.0,1990,1994,male,1948,U.S.S.R/Russia,4,13338.55
541,"Afanasyev, Viktor Mikhaylovich",27,4532.0,1990,1999,male,1948,U.S.S.R/Russia,4,13338.55
542,"Afanasyev, Viktor Mikhaylovich",Soyuz TM­33/32,236.208,2000,2001,male,1948,U.S.S.R/Russia,4,13338.55
543,"Akiyama, Toyohiro",Soyuz TM-11/10,189.9,1990,1990,male,1942,Japan,1,189.9
544,"Cameron, Kenneth D.",STS-37,143.0,1990,1991,male,1949,U.S.,3,561.0
545,"Cameron, Kenneth D.",STS-56,222.0,1990,1993,male,1949,U.S.,3,561.0
546,"Cameron, Kenneth D.",STS-74,196.0,1990,1995,male,1949,U.S.,3,561.0
547,"Godwin, Linda M.",STS-37,143.5,1990,1991,female,1952,U.S.,4,917.99
548,"Godwin, Linda M.",STS-59,269.82,1990,1994,female,1952,U.S.,4,917.99
549,"Godwin, Linda M.",STS-76,221.67,1990,1996,female,1952,U.S.,4,917.99
550,"Godwin, Linda M.",STS-108,283.0,2000,2001,female,1952,U.S.,4,917.99
551,"Apt, Jerome",STS-37,143.5,1990,1991,male,1949,U.S.,4,847.0
552,"Apt, Jerome",STS-47,190.5,1990,1992,male,1949,U.S.,4,847.0
553,"Apt, Jerome",STS-59,270.0,1990,1994,male,1949,U.S.,4,847.0
554,"Apt, Jerome",STS-79,243.0,1990,1996,male,1949,U.S.,4,847.0
555,"Hammond, L. Blaine, Jr.",STS-39,199.0,1990,1991,male,1952,U.S.,2,461.0
556,"Hammond, L. Blaine, Jr.",STS-64,262.0,1990,1994,male,1952,U.S.,2,461.0
557,"Harbaugh, Gregory J.",STS-39,199.0,1990,1991,male,1956,U.S.,4,816.0
558,"Harbaugh, Gregory J.",STS-54,143.0,1990,1993,male,1956,U.S.,4,816.0
559,"Harbaugh, Gregory J.",STS-71,235.0,1990,1995,male,1956,U.S.,4,816.0
560,"Harbaugh, Gregory J.",STS-82,239.0,1990,1997,male,1956,U.S.,4,816.0
561,"McMonagle, Donald R.",STS-39,199.0,1990,1991,male,1952,U.S.,3,604.0
562,"McMonagle, Donald R.",STS-54,143.0,1990,1993,male,1952,U.S.,3,604.0
563,"McMonagle, Donald R.",STS-66,262.0,1990,1994,male,1952,U.S.,3,604.0
564,"Veach, Charles Lacy",STS-39,192.0,1990,1991,male,1944,U.S.,2,436.3
565,"Veach, Charles Lacy",STS-52,240.0,1990,1992,male,1944,U.S.,2,436.3
566,"Hieb, Richard J.",STS-39,199.0,1990,1991,male,1955,U.S.,3,765.0
567,"Hieb, Richard J.",STS-49,213.0,1990,1992,male,1955,U.S.,3,765.0
568,"Hieb, Richard J.",STS-65,353.0,1990,1994,male,1955,U.S.,3,765.0
569,"Artsebarsky, Anatoly",9,3471.0,1990,1991,male,1956,U.S.S.R/Russia,1,3471.35
570,Helen Sharman,Soyuz TM-12/11,189.22,1990,1991,female,1963,U.K.,1,189.22
571,"Gutierrez, Sidney M.",STS-40,218.0,1990,1991,male,1951,U.S.,2,487.0
572,"Gutierrez, Sidney M.",STS-59,269.0,1990,1994,male,1951,U.S.,2,487.0
573,"Jernigan, Tamara E.",STS-40,218.0,1990,1991,female,1959,U.S.,5,1511.0
574,"Jernigan, Tamara E.",STS-52,236.0,1990,1992,female,1959,U.S.,5,1511.0
575,"Jernigan, Tamara E.",STS-67,399.0,1990,1995,female,1959,U.S.,5,1511.0
576,"Jernigan, Tamara E.",STS-80,423.0,1990,1996,female,1959,U.S.,5,1511.0
577,"Jernigan, Tamara E.",STS-96,235.0,1990,1999,female,1959,U.S.,5,1511.0
578,"Gaffney, Andrew",STS-40,218.0,1990,1991,male,1946,U.S.,1,218.0
579,"Hughes-Fulford, Millie Elizabeth",STS-40,218.37,1990,1991,female,1945,U.S.,1,218.37
580,"Baker, Michael A.",STS-43,213.0,1990,1991,male,1953,U.S.,4,965.0
