,name,mission_title,hours_mission,decade_of_mission,year_of_mission,sex,year_of_birth,nationality,total_number_of_missions,total_hrs_sum
608,"Kaleri, Aleksandr",11,3494.0,1990,1992,male,1956,U.S.S.R/Russia,5,18462.62
609,"Kaleri, Aleksandr",21,4721.0,1990,1996,male,1956,U.S.S.R/Russia,5,18462.62
610,"Kaleri, Aleksandr",28,1747.0,2000,2000,male,1956,U.S.S.R/Russia,5,18462.62
611,"Kaleri, Aleksandr",8,4674.0,2000,2003,male,1956,U.S.S.R/Russia,5,18462.62
612,"Kaleri, Aleksandr",25,3824.0,2010,2010,male,1956,U.S.S.R/Russia,5,18462.62
613,"Flade, Klaus-Dietrich",Soyuz TM-14/13,189.95,1990,1992,male,1952,Germany,1,189.95
614,"Duffy, Brian",STS-45,214.0,1990,1992,male,1953,U.S.,4,976.0
615,"Duffy, Brian",STS-57,240.0,1990,1993,male,1953,U.S.,4,976.0
616,"Duffy, Brian",STS-72,214.0,1990,1996,male,1953,U.S.,4,976.0
617,"Duffy, Brian",STS-92,310.0,2000,2000,male,1953,U.S.,4,976.0
618,"Foale, C. Michael",STS-45,214.0,1990,1992,male,1957,U.S.,6,8976.0
619,"Foale, C. Michael",STS-56,222.0,1990,1993,male,1957,U.S.,6,8976.0
620,"Foale, C. Michael",STS-63,198.5,1990,1995,male,1957,U.S.,6,8976.0
621,"Foale, C. Michael",23,3470.0,1990,1997,male,1957,U.S.,6,8976.0
622,"Foale, C. Michael",STS-103,191.0,1990,1999,male,1957,U.S.,6,8976.0
623,"Foale, C. Michael",8,4674.5,2000,2003,male,1957,U.S.,6,8976.0
624,"Frimout, David",STS-45,214.15,1990,1992,male,1941,Belgium,1,214.15
625,"Chilton, Kevin P.",STS-49,213.0,1990,1992,male,1954,U.S.,3,704.0
626,"Chilton, Kevin P.",STS-59,270.0,1990,1994,male,1954,U.S.,3,704.0
627,"Chilton, Kevin P.",STS-76,221.0,1990,1996,male,1954,U.S.,3,704.0
628,"Bowersox, Kenneth D.",STS-50,331.0,1990,1992,male,1956,U.S.,5,5304.0
629,"Bowersox, Kenneth D.",STS-61,260.0,1990,1993,male,1956,U.S.,5,5304.0
630,"Bowersox, Kenneth D.",STS-73,382.0,1990,1995,male,1956,U.S.,5,5304.0
631,"Bowersox, Kenneth D.",STS-82,239.0,1990,1997,male,1956,U.S.,5,5304.0
632,"Bowersox, Kenneth D.",6,3865.0,2000,2002,male,1956,U.S.,5,5304.0
633,"DeLucas, Lawrence James",STS-50,331.53,1990,1992,male,1950,U.S.,1,331.53
634,"Trinh, Eugene Huu-Chau",STS-50,331.53,1990,1992,male,1950,U.S.,1,331.53
635,"Avdeyev, Sergei",12,4533.0,1990,1993,male,1956,U.S.S.R/Russia,3,17942.23
636,"Avdeyev, Sergei",20,4297.0,1990,1995,male,1956,U.S.S.R/Russia,3,17942.23
637,"Avdeyev, Sergei",26,9110.0,1990,1998,male,1956,U.S.S.R/Russia,3,17942.23
638,"Tognini, Michel",Antares,331.0,1990,1992,male,1949,France,2,449.77
639,"Tognini, Michel",STS-93,118.8,1990,1999,male,1949,France,2,449.77
640,"Allen, Andrew M.",STS-46,191.0,1990,1992,male,1955,U.S.,3,904.0
641,"Allen, Andrew M.",STS-62,335.0,1990,1994,male,1955,U.S.,3,904.0
642,"Allen, Andrew M.",STS-75,378.0,1990,1996,male,1955,U.S.,3,904.0
643,"Nicollier, Claude",STS-46,191.25,1990,1992,male,1944,Switzerland,4,1184.07
644,"Nicollier, Claude",STS-61-A,259.97,1990,1993,male,1944,Switzerland,4,1184.07
645,"Nicollier, Claude",STS-75,541.67,1990,1996,male,1944,Switzerland,4,1184.07
646,"Nicollier, Claude",STS-103,191.18,1990,1999,male,1944,Switzerland,4,1184.07
647,Franco Malerba,sts-46,191.25,1990,1992,male,1946,Italy,1,191.25
648,"Brown, Curtis L., Jr.",STS-47,190.5,1990,1992,male,1956,U.S.,6,1381.0
649,"Brown, Curtis L., Jr.",STS-66,262.5,1990,1994,male,1956,U.S.,6,1381.0
650,"Brown, Curtis L., Jr.",STS-77,240.5,1990,1996,male,1956,U.S.,6,1381.0
651,"Brown, Curtis L., Jr.",STS-85,284.5,1990,1997,male,1956,U.S.,6,1381.0
652,"Brown, Curtis L., Jr.",STS-95,213.5,1990,1998,male,1956,U.S.,6,1381.0
653,"Brown, Curtis L., Jr.",STS-103,191.0,1990,1999,male,1956,U.S.,6,1381.0
654,"Davis, Nancy Jan",STS-47,190.5,1990,1992,female,1953,U.S.,3,673.0
655,"Davis, Nancy Jan",STS-60,199.0,1990,1994,female,1953,U.S.,3,673.0
656,"Davis, Nancy Jan",STS-85,284.0,1990,1997,female,1953,U.S.,3,673.0
657,"Jemison, Mae C.",STS-47,190.5,1990,1992,female,1956,U.S.,1,190.5
658,"Mohri, Mamoru",STS-47,190.5,1990,1992,male,1948,Japan,2,190.5
659,"Mohri, Mamoru",STS-99,269.7,2000,2000,male,1948,Japan,2,190.5
660,Steven MacLean,STS-52,236.93,1990,1992,male,1954,Canada,2,520.03
661,Steven MacLean,STS-115,283.1,2000,2006,male,1954,Canada,2,520.03
662,"Clifford, Michael R.",STS-53,175.0,1990,1992,male,1952,U.S.,3,666.0
663,"Clifford, Michael R.",STS-59,270.0,1990,1994,male,1952,U.S.,3,666.0
664,"Clifford, Michael R.",STS-76,221.0,1990,1996,male,1952,U.S.,3,666.0
665,"Helms, Susan J.",STS-54,143.0,1990,1993,female,1958,U.S.,5,5054.0
666,"Helms, Susan J.",STS-64,262.0,1990,1994,female,1958,U.S.,5,5054.0
667,"Helms, Susan J.",STS-78,405.0,1990,1996,female,1958,U.S.,5,5054.0
668,"Helms, Susan J.",STS-101,237.0,2000,2000,female,1958,U.S.,5,5054.0
669,"Helms, Susan J.",2,4007.0,2000,2001,female,1958,U.S.,5,5054.0
670,"Poleshchuk, Aleksandr",13,4296.0,1990,1993,male,1953,U.S.S.R/Russia,1,4296.72
671,"Cockrell, Kenneth D.",STS-56,222.0,1990,1993,male,1950,U.S.,5,1560.0
672,"Cockrell, Kenneth D.",STS-69,260.5,1990,1995,male,1950,U.S.,5,1560.0
673,"Cockrell, Kenneth D.",STS-80,424.0,1990,1996,male,1950,U.S.,5,1560.0
674,"Cockrell, Kenneth D.",STS-98,309.0,2000,2001,male,1950,U.S.,5,1560.0
675,"Cockrell, Kenneth D.",STS-111,333.0,2000,2002,male,1950,U.S.,5,1560.0
676,"Ochoa, Ellen",STS-56,222.0,1990,1993,female,1958,U.S.,4,978.0
677,"Ochoa, Ellen",STS-66,263.0,1990,1994,female,1958,U.S.,4,978.0
678,"Ochoa, Ellen",STS-96,235.0,1990,1999,female,1958,U.S.,4,978.0
679,"Ochoa, Ellen",STS-110,260.0,2000,2002,female,1958,U.S.,4,978.0
680,"Precourt, Charles J., Jr.",STS-55,240.0,1990,1993,male,1955,U.S.,4,932.0
681,"Precourt, Charles J., Jr.",STS-71,235.0,1990,1995,male,1955,U.S.,4,932.0
682,"Precourt, Charles J., Jr.",STS-84,221.0,1990,1997,male,1955,U.S.,4,932.0
683,"Precourt, Charles J., Jr.",STS-91,235.0,1990,1998,male,1955,U.S.,4,932.0
684,"Harris, Bernard A., Jr.",STS-55,239.0,1990,1993,male,1956,U.S.,2,437.0
685,"Harris, Bernard A., Jr.",STS-63,198.0,1990,1995,male,1956,U.S.,2,437.0
686,"Walter, Ulrich",STS-55,239.67,1990,1993,male,1954,Germany,1,239.67
687,"Schlegel, Hans",STS-55,240.0,1990,1993,male,1951,Germany,2,546.0
688,"Schlegel, Hans",STS-122,306.0,2000,2008,male,1951,Germany,2,546.0
689,"Currie, Nancy J.",STS-57,240.0,1990,1993,female,1958,U.S.,4,999.0
690,"Currie, Nancy J.",STS-70,214.0,1990,1995,female,1958,U.S.,4,999.0
691,"Currie, Nancy J.",STS-88,283.0,1990,1998,female,1958,U.S.,4,999.0
692,"Currie, Nancy J.",STS-109,262.0,2000,2002,female,1958,U.S.,4,999.0
693,"Wisoff, Peter J. K.",STS-57,239.0,1990,1993,male,1958,U.S.,4,1064.15
694,"Wisoff, Peter J. K.",STS-68,269.0,1990,1994,male,1958,U.S.,4,1064.15
695,"Wisoff, Peter J. K.",STS-81,240.0,1990,1997,male,1958,U.S.,4,1064.15
696,"Wisoff, Peter J. K.",STS-92,309.0,2000,2000,male,1958,U.S.,4,1064.15
697,"Voss, Janice E.",STS-57,239.73,1990,1993,female,1956,U.S.,5,1199.81
698,"Voss, Janice E.",STS-63,198.47,1990,1995,female,1956,U.S.,5,1199.81
699,"Voss, Janice E.",STS-83,95.21,1990,1997,female,1956,U.S.,5,1199.81
700,"Voss, Janice E.",STS-94,396.8,1990,1997,female,1956,U.S.,5,1199.81
701,"Voss, Janice E.",STS-99,269.6,2000,2000,female,1956,U.S.,5,1199.81
